strain_stim,jnl,frame,time_ms,fluor
odr7p_Bcary_5percent,JNL_10off_120on_50off,2,100,51917700
odr7p_Bcary_5percent,JNL_10off_120on_50off,3,200,49780200
odr7p_Bcary_5percent,JNL_10off_120on_50off,4,301,48277500
odr7p_Bcary_5percent,JNL_10off_120on_50off,5,400,47535900
odr7p_Bcary_5percent,JNL_10off_120on_50off,6,500,46536600
odr7p_Bcary_5percent,JNL_10off_120on_50off,7,600,45969300.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,8,700,45508400
odr7p_Bcary_5percent,JNL_10off_120on_50off,9,800,45444000.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,10,901,44195700
odr7p_Bcary_5percent,JNL_10off_120on_50off,11,1000,44751899.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,12,1100,44740500
odr7p_Bcary_5percent,JNL_10off_120on_50off,13,1200,44290600
odr7p_Bcary_5percent,JNL_10off_120on_50off,14,1300,44196799.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,15,1401,44323000
odr7p_Bcary_5percent,JNL_10off_120on_50off,16,1500,43697500
odr7p_Bcary_5percent,JNL_10off_120on_50off,17,1600,43840100
odr7p_Bcary_5percent,JNL_10off_120on_50off,18,1700,43915600
odr7p_Bcary_5percent,JNL_10off_120on_50off,19,1800,43434600
odr7p_Bcary_5percent,JNL_10off_120on_50off,20,1900,43711700
odr7p_Bcary_5percent,JNL_10off_120on_50off,21,2000,43628600.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,22,2100,43455700.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,23,2200,43259600
odr7p_Bcary_5percent,JNL_10off_120on_50off,24,2300,43352400
odr7p_Bcary_5percent,JNL_10off_120on_50off,25,2400,43662900
odr7p_Bcary_5percent,JNL_10off_120on_50off,26,2500,43257100
odr7p_Bcary_5percent,JNL_10off_120on_50off,27,2600,43165100
odr7p_Bcary_5percent,JNL_10off_120on_50off,28,2700,43088400
odr7p_Bcary_5percent,JNL_10off_120on_50off,29,2800,43248800
odr7p_Bcary_5percent,JNL_10off_120on_50off,30,2900,43086300
odr7p_Bcary_5percent,JNL_10off_120on_50off,31,3000,42985800
odr7p_Bcary_5percent,JNL_10off_120on_50off,32,3100,42366500
odr7p_Bcary_5percent,JNL_10off_120on_50off,33,3201,42874400
odr7p_Bcary_5percent,JNL_10off_120on_50off,34,3301,43024400
odr7p_Bcary_5percent,JNL_10off_120on_50off,35,3400,42785000
odr7p_Bcary_5percent,JNL_10off_120on_50off,36,3500,42573100
odr7p_Bcary_5percent,JNL_10off_120on_50off,37,3600,42634500
odr7p_Bcary_5percent,JNL_10off_120on_50off,38,3701,42104100.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,39,3801,42405400
odr7p_Bcary_5percent,JNL_10off_120on_50off,40,3901,42605600
odr7p_Bcary_5percent,JNL_10off_120on_50off,41,4000,42234100
odr7p_Bcary_5percent,JNL_10off_120on_50off,42,4100,41909500
odr7p_Bcary_5percent,JNL_10off_120on_50off,43,4200,42128200
odr7p_Bcary_5percent,JNL_10off_120on_50off,44,4301,42377200.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,45,4400,42224600
odr7p_Bcary_5percent,JNL_10off_120on_50off,46,4500,41874000
odr7p_Bcary_5percent,JNL_10off_120on_50off,47,4600,41902300
odr7p_Bcary_5percent,JNL_10off_120on_50off,48,4700,42100400
odr7p_Bcary_5percent,JNL_10off_120on_50off,49,4800,41722600
odr7p_Bcary_5percent,JNL_10off_120on_50off,50,4900,41629300
odr7p_Bcary_5percent,JNL_10off_120on_50off,51,5000,41690200
odr7p_Bcary_5percent,JNL_10off_120on_50off,52,5100,42211700
odr7p_Bcary_5percent,JNL_10off_120on_50off,53,5200,42399500
odr7p_Bcary_5percent,JNL_10off_120on_50off,54,5300,41832800
odr7p_Bcary_5percent,JNL_10off_120on_50off,55,5400,41975900
odr7p_Bcary_5percent,JNL_10off_120on_50off,56,5500,42287600
odr7p_Bcary_5percent,JNL_10off_120on_50off,57,5601,41673900
odr7p_Bcary_5percent,JNL_10off_120on_50off,58,5700,42005500
odr7p_Bcary_5percent,JNL_10off_120on_50off,59,5800,41766200
odr7p_Bcary_5percent,JNL_10off_120on_50off,60,5900,42207600
odr7p_Bcary_5percent,JNL_10off_120on_50off,61,6000,41755500
odr7p_Bcary_5percent,JNL_10off_120on_50off,62,6100,42213100
odr7p_Bcary_5percent,JNL_10off_120on_50off,63,6200,41694200
odr7p_Bcary_5percent,JNL_10off_120on_50off,64,6300,42210400
odr7p_Bcary_5percent,JNL_10off_120on_50off,65,6400,41828100
odr7p_Bcary_5percent,JNL_10off_120on_50off,66,6500,42224900
odr7p_Bcary_5percent,JNL_10off_120on_50off,67,6600,41849999.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,68,6700,41777700
odr7p_Bcary_5percent,JNL_10off_120on_50off,69,6800,41722800
odr7p_Bcary_5percent,JNL_10off_120on_50off,70,6901,41523800
odr7p_Bcary_5percent,JNL_10off_120on_50off,71,7000,41775300
odr7p_Bcary_5percent,JNL_10off_120on_50off,72,7101,41847200.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,73,7201,41847400
odr7p_Bcary_5percent,JNL_10off_120on_50off,74,7300,41706000
odr7p_Bcary_5percent,JNL_10off_120on_50off,75,7401,41306900.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,76,7501,41568300
odr7p_Bcary_5percent,JNL_10off_120on_50off,77,7601,41839500
odr7p_Bcary_5percent,JNL_10off_120on_50off,78,7700,41438100
odr7p_Bcary_5percent,JNL_10off_120on_50off,79,7800,41595800
odr7p_Bcary_5percent,JNL_10off_120on_50off,80,7901,41625000
odr7p_Bcary_5percent,JNL_10off_120on_50off,81,8000,41654000
odr7p_Bcary_5percent,JNL_10off_120on_50off,82,8100,41308900
odr7p_Bcary_5percent,JNL_10off_120on_50off,83,8200,41512200
odr7p_Bcary_5percent,JNL_10off_120on_50off,84,8300,41532300
odr7p_Bcary_5percent,JNL_10off_120on_50off,85,8400,41176800
odr7p_Bcary_5percent,JNL_10off_120on_50off,86,8500,41401000
odr7p_Bcary_5percent,JNL_10off_120on_50off,87,8600,41245900.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,88,8701,41608200
odr7p_Bcary_5percent,JNL_10off_120on_50off,89,8810,41120800
odr7p_Bcary_5percent,JNL_10off_120on_50off,90,8910,41883800.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,91,9010,41372099.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,92,9110,41362000
odr7p_Bcary_5percent,JNL_10off_120on_50off,93,9210,41274900
odr7p_Bcary_5percent,JNL_10off_120on_50off,94,9310,41654000
odr7p_Bcary_5percent,JNL_10off_120on_50off,95,9410,41359600
odr7p_Bcary_5percent,JNL_10off_120on_50off,96,9510,41881900
odr7p_Bcary_5percent,JNL_10off_120on_50off,97,9610,41522500.00000001
