strain_stim,jnl,frame,time_s,fluor,dff
odr7p_Bcary_5percent,JNL_10off_120on_50off,70,6.9,23605100,-11.55988625645573
odr7p_Bcary_5percent,JNL_10off_120on_50off,71,7,23537400,-11.813534650253594
odr7p_Bcary_5percent,JNL_10off_120on_50off,72,7.1,23673400,-11.303989870984621
odr7p_Bcary_5percent,JNL_10off_120on_50off,73,7.2,23405800,-12.306594157252098
odr7p_Bcary_5percent,JNL_10off_120on_50off,74,7.3,23357800.000000004,-12.486433491111722
odr7p_Bcary_5percent,JNL_10off_120on_50off,75,7.4,23367500,-12.450090959060935
odr7p_Bcary_5percent,JNL_10off_120on_50off,76,7.5,23175200,-13.170572290336107
odr7p_Bcary_5percent,JNL_10off_120on_50off,77,7.6,23252799.999999996,-12.879832033929706
odr7p_Bcary_5percent,JNL_10off_120on_50off,78,7.7,23113400,-13.40211543268039
odr7p_Bcary_5percent,JNL_10off_120on_50off,79,7.8,23106500,-13.427967336922714
odr7p_Bcary_5percent,JNL_10off_120on_50off,80,7.9,23015200,-13.770036736534896
odr7p_Bcary_5percent,JNL_10off_120on_50off,81,8,22931800,-14.082507579116019
odr7p_Bcary_5percent,JNL_10off_120on_50off,82,8.1,22933800,-14.075014273538534
odr7p_Bcary_5percent,JNL_10off_120on_50off,83,8.2,22793500,-14.600669659799099
odr7p_Bcary_5percent,JNL_10off_120on_50off,84,8.3,23024000,-13.737066191993963
odr7p_Bcary_5percent,JNL_10off_120on_50off,85,8.4,22906200,-14.178421890507826
odr7p_Bcary_5percent,JNL_10off_120on_50off,86,8.5,22624200,-15.234977976933193
odr7p_Bcary_5percent,JNL_10off_120on_50off,87,8.6,22639700,-15.176904858707685
odr7p_Bcary_5percent,JNL_10off_120on_50off,88,8.7,22714500.000000004,-14.896655230109737
odr7p_Bcary_5percent,JNL_10off_120on_50off,89,8.8,22629900,-15.213622056037362
odr7p_Bcary_5percent,JNL_10off_120on_50off,90,8.9,22608200,-15.294924421553072
odr7p_Bcary_5percent,JNL_10off_120on_50off,91,9,22439500,-15.926984747013922
odr7p_Bcary_5percent,JNL_10off_120on_50off,92,9.1,22383099.999999996,-16.13829596429901
odr7p_Bcary_5percent,JNL_10off_120on_50off,93,9.21,22482000.000000004,-15.767752003492355
odr7p_Bcary_5percent,JNL_10off_120on_50off,94,9.3,22709800.000000004,-14.914264498216825
odr7p_Bcary_5percent,JNL_10off_120on_50off,95,9.4,22427900,-15.970445919363335
odr7p_Bcary_5percent,JNL_10off_120on_50off,96,9.5,22251400,-16.631730136576376
odr7p_Bcary_5percent,JNL_10off_120on_50off,97,9.61,22509900,-15.663220390686455
odr7p_Bcary_5percent,JNL_10off_120on_50off,98,9.71,22491500.000000004,-15.732158801999303
odr7p_Bcary_5percent,JNL_10off_120on_50off,99,9.8,22093400,-17.223701277197684
odr7p_Bcary_5percent,JNL_10off_120on_50off,100,9.9,22359300.000000004,-16.227466300671054
odr7p_Bcary_5percent,JNL_10off_120on_50off,101,10,22050600,-17.38405801655586
odr7p_Bcary_5percent,JNL_10off_120on_50off,102,10.11,22213500,-16.773728277269715
odr7p_Bcary_5percent,JNL_10off_120on_50off,103,10.21,22022300,-17.49008829047727
odr7p_Bcary_5percent,JNL_10off_120on_50off,104,10.31,21980100,-17.648197038162202
odr7p_Bcary_5percent,JNL_10off_120on_50off,105,10.4,21843900,-18.158491147988922
odr7p_Bcary_5percent,JNL_10off_120on_50off,106,10.5,21948300,-17.76734059684421
odr7p_Bcary_5percent,JNL_10off_120on_50off,107,10.61,21790100,-18.360061068023267
odr7p_Bcary_5percent,JNL_10off_120on_50off,108,10.71,21958600,-17.728750073120164
odr7p_Bcary_5percent,JNL_10off_120on_50off,109,10.81,21836600,-18.185841713346743
odr7p_Bcary_5percent,JNL_10off_120on_50off,110,10.91,21792300,-18.35181843188803
odr7p_Bcary_5percent,JNL_10off_120on_50off,111,11.01,21693400,-18.72236239269466
odr7p_Bcary_5percent,JNL_10off_120on_50off,112,11.11,21817700.000000004,-18.25665345105396
odr7p_Bcary_5percent,JNL_10off_120on_50off,113,11.21,21472200,-19.55112198956449
odr7p_Bcary_5percent,JNL_10off_120on_50off,114,11.31,21542000,-19.289605624910266
odr7p_Bcary_5percent,JNL_10off_120on_50off,115,11.41,21564199.999999996,-19.206429933000198
odr7p_Bcary_5percent,JNL_10off_120on_50off,116,11.511,21374700,-19.916420636466878
odr7p_Bcary_5percent,JNL_10off_120on_50off,117,11.611,21405500,-19.80102373057361
odr7p_Bcary_5percent,JNL_10off_120on_50off,118,11.711,21304300,-20.180184992794345
odr7p_Bcary_5percent,JNL_10off_120on_50off,119,11.811,21286200,-20.247999408270584
odr7p_Bcary_5percent,JNL_10off_120on_50off,120,11.911,21345100,-20.027321559013654
odr7p_Bcary_5percent,JNL_10off_120on_50off,121,12.011,21286700,-20.246126081876213
odr7p_Bcary_5percent,JNL_10off_120on_50off,122,12.111,21339400,-20.048677479909486
odr7p_Bcary_5percent,JNL_10off_120on_50off,123,12.211,21189600,-20.609926067663103
odr7p_Bcary_5percent,JNL_10off_120on_50off,124,12.311,21050000,-21.13295879697155
odr7p_Bcary_5percent,JNL_10off_120on_50off,125,12.411,21062599.999999996,-21.08575097183341
odr7p_Bcary_5percent,JNL_10off_120on_50off,126,12.511,21326299.999999996,-20.097758631442026
odr7p_Bcary_5percent,JNL_10off_120on_50off,127,12.611,21121300,-20.865822453134214
odr7p_Bcary_5percent,JNL_10off_120on_50off,128,12.711,21187299.999999996,-20.618543369077223
odr7p_Bcary_5percent,JNL_10off_120on_50off,129,12.811,20743999.999999996,-22.27943455032675
odr7p_Bcary_5percent,JNL_10off_120on_50off,130,12.911,20793499.999999996,-22.093975237284
odr7p_Bcary_5percent,JNL_10off_120on_50off,131,13.011,20972200,-21.424448383935708
odr7p_Bcary_5percent,JNL_10off_120on_50off,132,13.111,21016200,-21.259595661231042
odr7p_Bcary_5percent,JNL_10off_120on_50off,133,13.211,20877700,-21.77850707247187
odr7p_Bcary_5percent,JNL_10off_120on_50off,134,13.311,20727699.999999996,-22.340504990783252
odr7p_Bcary_5percent,JNL_10off_120on_50off,135,13.411,20860500,-21.84294950043824
odr7p_Bcary_5percent,JNL_10off_120on_50off,136,13.511,20729300,-22.334510346321252
odr7p_Bcary_5percent,JNL_10off_120on_50off,137,13.611,20846000,-21.897275965875007
odr7p_Bcary_5percent,JNL_10off_120on_50off,138,13.711,20848600,-21.88753466862428
odr7p_Bcary_5percent,JNL_10off_120on_50off,139,13.811,20679000,-22.522966981594998
odr7p_Bcary_5percent,JNL_10off_120on_50off,140,13.911,20724200,-22.353618275543838
odr7p_Bcary_5percent,JNL_10off_120on_50off,141,14.011,20779500,-22.14642837632638
odr7p_Bcary_5percent,JNL_10off_120on_50off,142,14.111,20713200,-22.394831456220004
odr7p_Bcary_5percent,JNL_10off_120on_50off,143,14.211,20809800,-22.032904796827484
odr7p_Bcary_5percent,JNL_10off_120on_50off,144,14.311,20565300,-22.94896140367501
odr7p_Bcary_5percent,JNL_10off_120on_50off,145,14.411,20715400,-22.38658882008477
odr7p_Bcary_5percent,JNL_10off_120on_50off,146,14.511,20496600,-23.206356450261616
odr7p_Bcary_5percent,JNL_10off_120on_50off,147,14.611,20723600.000000004,-22.35586626721707
odr7p_Bcary_5percent,JNL_10off_120on_50off,148,14.711,24031500,-9.962313507335951
odr7p_Bcary_5percent,JNL_10off_120on_50off,149,14.811,27129800,1.6459408280247636
odr7p_Bcary_5percent,JNL_10off_120on_50off,150,14.911,28022600,4.990952437814018
odr7p_Bcary_5percent,JNL_10off_120on_50off,151,15.011,28232100,5.77587619705556
odr7p_Bcary_5percent,JNL_10off_120on_50off,152,15.111,28578100,7.072218061960446
odr7p_Bcary_5percent,JNL_10off_120on_50off,153,15.211,28914500,8.332592060093404
odr7p_Bcary_5percent,JNL_10off_120on_50off,154,15.311,28452700.000000004,6.602387802252157
odr7p_Bcary_5percent,JNL_10off_120on_50off,155,15.411,28807700,7.932449542255711
odr7p_Bcary_5percent,JNL_10off_120on_50off,156,15.511,28772600,7.800942029370852
odr7p_Bcary_5percent,JNL_10off_120on_50off,157,15.611,28722100,7.611736063539358
odr7p_Bcary_5percent,JNL_10off_120on_50off,158,15.711,28639199.999999996,7.301138547352595
odr7p_Bcary_5percent,JNL_10off_120on_50off,159,15.811,28657700,7.370451623944343
odr7p_Bcary_5percent,JNL_10off_120on_50off,160,15.911,28735100,7.660442549793009
odr7p_Bcary_5percent,JNL_10off_120on_50off,161,16.011,28666800,7.4045461643219
odr7p_Bcary_5percent,JNL_10off_120on_50off,162,16.111,28552300,6.975554420010891
odr7p_Bcary_5percent,JNL_10off_120on_50off,163,16.211,28283000,5.96658082400255
odr7p_Bcary_5percent,JNL_10off_120on_50off,164,16.311,28181700,5.587044896502941
odr7p_Bcary_5percent,JNL_10off_120on_50off,165,16.411,27777500,4.072647839293245
odr7p_Bcary_5percent,JNL_10off_120on_50off,166,16.511,28180000,5.580675586762078
odr7p_Bcary_5percent,JNL_10off_120on_50off,167,16.611,28399200.000000004,6.401941878054436
odr7p_Bcary_5percent,JNL_10off_120on_50off,168,16.711,28041299.999999996,5.061014844963487
odr7p_Bcary_5percent,JNL_10off_120on_50off,169,16.811,27733500.000000004,3.907795116588591
odr7p_Bcary_5percent,JNL_10off_120on_50off,170,16.911,28153500,5.481389287860404
odr7p_Bcary_5percent,JNL_10off_120on_50off,171,17.011,27897400,4.521871508663463
odr7p_Bcary_5percent,JNL_10off_120on_50off,172,17.111,27705700.000000004,3.803638169061551
odr7p_Bcary_5percent,JNL_10off_120on_50off,173,17.211,27728300,3.8883125220871166
odr7p_Bcary_5percent,JNL_10off_120on_50off,174,17.311,27771400,4.049793257281916
odr7p_Bcary_5percent,JNL_10off_120on_50off,175,17.411,27555100,3.2393922590769253
odr7p_Bcary_5percent,JNL_10off_120on_50off,176,17.511,27568100.000000004,3.2880987453305908
odr7p_Bcary_5percent,JNL_10off_120on_50off,177,17.611,27477700,2.94940133322826
odr7p_Bcary_5percent,JNL_10off_120on_50off,178,17.711,27265500,2.154361611457113
odr7p_Bcary_5percent,JNL_10off_120on_50off,179,17.811,27409100,2.692380951920528
odr7p_Bcary_5percent,JNL_10off_120on_50off,180,17.911,27516000,3.0928981350370957
