strain_stim,jnl,frame,time_ms,fluor
odr7p_NH4Br,JNL_10off_120on_50off,95,9411,208651000
odr7p_NH4Br,JNL_10off_120on_50off,96,9511,208096000
odr7p_NH4Br,JNL_10off_120on_50off,97,9611,208036000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,98,9711,207760000
odr7p_NH4Br,JNL_10off_120on_50off,99,9811,207350000
odr7p_NH4Br,JNL_10off_120on_50off,100,9911,207450000
odr7p_NH4Br,JNL_10off_120on_50off,101,10011,207225000
odr7p_NH4Br,JNL_10off_120on_50off,102,10111,206828000
odr7p_NH4Br,JNL_10off_120on_50off,103,10211,207100000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,104,10311,206302000
odr7p_NH4Br,JNL_10off_120on_50off,105,10411,206684000
odr7p_NH4Br,JNL_10off_120on_50off,106,10511,205938000
odr7p_NH4Br,JNL_10off_120on_50off,107,10611,206032000
odr7p_NH4Br,JNL_10off_120on_50off,108,10711,205582999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,109,10811,205702000
odr7p_NH4Br,JNL_10off_120on_50off,110,10911,205620000
odr7p_NH4Br,JNL_10off_120on_50off,111,11011,205336000
odr7p_NH4Br,JNL_10off_120on_50off,112,11111,205368000
odr7p_NH4Br,JNL_10off_120on_50off,113,11211,204757000
odr7p_NH4Br,JNL_10off_120on_50off,114,11311,204781000
odr7p_NH4Br,JNL_10off_120on_50off,115,11411,205045000
odr7p_NH4Br,JNL_10off_120on_50off,116,11511,204859000
odr7p_NH4Br,JNL_10off_120on_50off,117,11611,204694000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,118,11711,204168000
odr7p_NH4Br,JNL_10off_120on_50off,119,11811,204233999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,120,11911,204076000
odr7p_NH4Br,JNL_10off_120on_50off,121,12011,203526000
odr7p_NH4Br,JNL_10off_120on_50off,122,12111,203896000
odr7p_NH4Br,JNL_10off_120on_50off,123,12211,203708000
odr7p_NH4Br,JNL_10off_120on_50off,124,12311,203600000
odr7p_NH4Br,JNL_10off_120on_50off,125,12411,203372999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,126,12511,203397000
odr7p_NH4Br,JNL_10off_120on_50off,127,12611,203514000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,128,12711,203105000
odr7p_NH4Br,JNL_10off_120on_50off,129,12811,202781000
odr7p_NH4Br,JNL_10off_120on_50off,130,12911,203087000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,131,13011,202896000
odr7p_NH4Br,JNL_10off_120on_50off,132,13111,202442000
odr7p_NH4Br,JNL_10off_120on_50off,133,13211,202457000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,134,13311,202443000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,135,13411,201745000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,136,13511,202018000
odr7p_NH4Br,JNL_10off_120on_50off,137,13611,201630000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,138,13711,201904000
odr7p_NH4Br,JNL_10off_120on_50off,139,13811,201484000
odr7p_NH4Br,JNL_10off_120on_50off,140,13911,201062000
odr7p_NH4Br,JNL_10off_120on_50off,141,14011,201250000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,142,14111,201176000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,143,14211,201193000
odr7p_NH4Br,JNL_10off_120on_50off,144,14311,200914000
odr7p_NH4Br,JNL_10off_120on_50off,145,14411,200915000
odr7p_NH4Br,JNL_10off_120on_50off,146,14511,200657000
odr7p_NH4Br,JNL_10off_120on_50off,147,14611,200261999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,148,14711,200179000.00000003
odr7p_NH4Br,JNL_10off_120on_50off,149,14811,200312000
odr7p_NH4Br,JNL_10off_120on_50off,150,14911,200064999.99999997
odr7p_NH4Br,JNL_10off_120on_50off,151,15011,199863000
odr7p_NH4Br,JNL_10off_120on_50off,152,15111,199854000
odr7p_NH4Br,JNL_10off_120on_50off,153,15211,199451000
odr7p_NH4Br,JNL_10off_120on_50off,154,15311,199525000
odr7p_NH4Br,JNL_10off_120on_50off,155,15411,199216000
odr7p_NH4Br,JNL_10off_120on_50off,156,15511,199532000
odr7p_NH4Br,JNL_10off_120on_50off,157,15611,198867000
odr7p_NH4Br,JNL_10off_120on_50off,158,15711,198493000
odr7p_NH4Br,JNL_10off_120on_50off,159,15811,198513000
odr7p_NH4Br,JNL_10off_120on_50off,160,15911,198349000
odr7p_NH4Br,JNL_10off_120on_50off,161,16011,197862000
odr7p_NH4Br,JNL_10off_120on_50off,162,16111,198683000
