strain_stim,jnl,frame,time_ms,fluor
odr7p_NH4Br,JNL_10off_120on_50off,2,100,54178800
odr7p_NH4Br,JNL_10off_120on_50off,3,200,51866899.99999999
odr7p_NH4Br,JNL_10off_120on_50off,4,300,51136500
odr7p_NH4Br,JNL_10off_120on_50off,5,400,50202700
odr7p_NH4Br,JNL_10off_120on_50off,6,500,49614200.00000001
odr7p_NH4Br,JNL_10off_120on_50off,7,600,49161800
odr7p_NH4Br,JNL_10off_120on_50off,8,700,48359500.00000001
odr7p_NH4Br,JNL_10off_120on_50off,9,800,47638600
odr7p_NH4Br,JNL_10off_120on_50off,10,900,47186199.99999999
odr7p_NH4Br,JNL_10off_120on_50off,11,1000,47028700
odr7p_NH4Br,JNL_10off_120on_50off,12,1100,46442400
odr7p_NH4Br,JNL_10off_120on_50off,13,1200,46002000
odr7p_NH4Br,JNL_10off_120on_50off,14,1300,45977300
odr7p_NH4Br,JNL_10off_120on_50off,15,1400,45481800
odr7p_NH4Br,JNL_10off_120on_50off,16,1500,45268800
odr7p_NH4Br,JNL_10off_120on_50off,17,1600,45296400
odr7p_NH4Br,JNL_10off_120on_50off,18,1700,44673700
odr7p_NH4Br,JNL_10off_120on_50off,19,1800,44099900
odr7p_NH4Br,JNL_10off_120on_50off,20,1900,44056400
odr7p_NH4Br,JNL_10off_120on_50off,21,2000,43918400
odr7p_NH4Br,JNL_10off_120on_50off,22,2100,44000800
odr7p_NH4Br,JNL_10off_120on_50off,23,2200,43275100
odr7p_NH4Br,JNL_10off_120on_50off,24,2300,43439600
odr7p_NH4Br,JNL_10off_120on_50off,25,2400,42738100
odr7p_NH4Br,JNL_10off_120on_50off,26,2500,42941000
odr7p_NH4Br,JNL_10off_120on_50off,27,2600,42563700.00000001
odr7p_NH4Br,JNL_10off_120on_50off,28,2700,42124900
odr7p_NH4Br,JNL_10off_120on_50off,29,2800,42385000
odr7p_NH4Br,JNL_10off_120on_50off,30,2900,42295800
odr7p_NH4Br,JNL_10off_120on_50off,31,3000,42093600
odr7p_NH4Br,JNL_10off_120on_50off,32,3100,42152700
odr7p_NH4Br,JNL_10off_120on_50off,33,3200,41931400
odr7p_NH4Br,JNL_10off_120on_50off,34,3300,41634000
odr7p_NH4Br,JNL_10off_120on_50off,35,3400,41299900
odr7p_NH4Br,JNL_10off_120on_50off,36,3500,41925200
