strain_stim,jnl,frame,time_ms,fluor
odr7p_Bcary_5percent,JNL_10off_120on_50off,2,100,317262000
odr7p_Bcary_5percent,JNL_10off_120on_50off,3,200,310539000
odr7p_Bcary_5percent,JNL_10off_120on_50off,4,300,305826000
odr7p_Bcary_5percent,JNL_10off_120on_50off,5,400,304328000
odr7p_Bcary_5percent,JNL_10off_120on_50off,6,500,302632000
odr7p_Bcary_5percent,JNL_10off_120on_50off,7,600,302196000
odr7p_Bcary_5percent,JNL_10off_120on_50off,8,700,300784000
odr7p_Bcary_5percent,JNL_10off_120on_50off,9,800,299815000
odr7p_Bcary_5percent,JNL_10off_120on_50off,10,900,299601000
odr7p_Bcary_5percent,JNL_10off_120on_50off,11,1000,298224000
odr7p_Bcary_5percent,JNL_10off_120on_50off,12,1100,298494000
odr7p_Bcary_5percent,JNL_10off_120on_50off,13,1200,297393000
odr7p_Bcary_5percent,JNL_10off_120on_50off,14,1300,297928000
odr7p_Bcary_5percent,JNL_10off_120on_50off,15,1400,297178000
odr7p_Bcary_5percent,JNL_10off_120on_50off,16,1500,297461000
odr7p_Bcary_5percent,JNL_10off_120on_50off,17,1600,295862000
odr7p_Bcary_5percent,JNL_10off_120on_50off,18,1700,295709000
odr7p_Bcary_5percent,JNL_10off_120on_50off,19,1800,296466000
odr7p_Bcary_5percent,JNL_10off_120on_50off,20,1900,296095000
odr7p_Bcary_5percent,JNL_10off_120on_50off,21,2000,295457000
odr7p_Bcary_5percent,JNL_10off_120on_50off,22,2100,295641000
odr7p_Bcary_5percent,JNL_10off_120on_50off,23,2200,294894000
odr7p_Bcary_5percent,JNL_10off_120on_50off,24,2300,294538000
odr7p_Bcary_5percent,JNL_10off_120on_50off,25,2400,294453000
odr7p_Bcary_5percent,JNL_10off_120on_50off,26,2500,293861000
odr7p_Bcary_5percent,JNL_10off_120on_50off,27,2600,293877000
odr7p_Bcary_5percent,JNL_10off_120on_50off,28,2700,293796000
odr7p_Bcary_5percent,JNL_10off_120on_50off,29,2800,293955000
