strain_stim,jnl,frame,time_ms,fluor
odr7p_Bcary_5percent,JNL_10off_120on_50off,89,8801,81647700.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,90,8901,81695000
odr7p_Bcary_5percent,JNL_10off_120on_50off,91,9001,81555199.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,92,9101,81830300
odr7p_Bcary_5percent,JNL_10off_120on_50off,93,9201,81803200
odr7p_Bcary_5percent,JNL_10off_120on_50off,94,9301,81420999.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,95,9401,81477100
odr7p_Bcary_5percent,JNL_10off_120on_50off,96,9501,81263700
odr7p_Bcary_5percent,JNL_10off_120on_50off,97,9601,81656800
odr7p_Bcary_5percent,JNL_10off_120on_50off,98,9701,81130900
odr7p_Bcary_5percent,JNL_10off_120on_50off,99,9801,81352100
odr7p_Bcary_5percent,JNL_10off_120on_50off,100,9901,81209800
odr7p_Bcary_5percent,JNL_10off_120on_50off,101,10001,81298400
odr7p_Bcary_5percent,JNL_10off_120on_50off,102,10101,81379800
odr7p_Bcary_5percent,JNL_10off_120on_50off,103,10211,81285800
odr7p_Bcary_5percent,JNL_10off_120on_50off,104,10311,81397000
odr7p_Bcary_5percent,JNL_10off_120on_50off,105,10411,81658500
odr7p_Bcary_5percent,JNL_10off_120on_50off,106,10511,80999900
odr7p_Bcary_5percent,JNL_10off_120on_50off,107,10611,81173600
odr7p_Bcary_5percent,JNL_10off_120on_50off,108,10711,81084200
odr7p_Bcary_5percent,JNL_10off_120on_50off,109,10811,80953199.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,110,10911,81212600
odr7p_Bcary_5percent,JNL_10off_120on_50off,111,11011,80898299.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,112,11111,81218200
odr7p_Bcary_5percent,JNL_10off_120on_50off,113,11211,81453900.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,114,11311,81059200
odr7p_Bcary_5percent,JNL_10off_120on_50off,115,11411,81344400
odr7p_Bcary_5percent,JNL_10off_120on_50off,116,11511,80997900
odr7p_Bcary_5percent,JNL_10off_120on_50off,117,11611,80986499.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,118,11711,81060900
odr7p_Bcary_5percent,JNL_10off_120on_50off,119,11811,80930900
odr7p_Bcary_5percent,JNL_10off_120on_50off,120,11911,80800800
odr7p_Bcary_5percent,JNL_10off_120on_50off,121,12011,80747100
odr7p_Bcary_5percent,JNL_10off_120on_50off,122,12111,80634500
odr7p_Bcary_5percent,JNL_10off_120on_50off,123,12211,80542100
odr7p_Bcary_5percent,JNL_10off_120on_50off,124,12311,80630100
odr7p_Bcary_5percent,JNL_10off_120on_50off,125,12411,80793900
odr7p_Bcary_5percent,JNL_10off_120on_50off,126,12511,80578400
odr7p_Bcary_5percent,JNL_10off_120on_50off,127,12611,80307400
odr7p_Bcary_5percent,JNL_10off_120on_50off,128,12711,80742700
odr7p_Bcary_5percent,JNL_10off_120on_50off,129,12811,80281800.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,130,12911,80472700
odr7p_Bcary_5percent,JNL_10off_120on_50off,131,13011,80561800
odr7p_Bcary_5percent,JNL_10off_120on_50off,132,13111,80263899.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,133,13211,79941200
odr7p_Bcary_5percent,JNL_10off_120on_50off,134,13311,80284500
odr7p_Bcary_5percent,JNL_10off_120on_50off,135,13411,80211200
odr7p_Bcary_5percent,JNL_10off_120on_50off,136,13511,80314500
odr7p_Bcary_5percent,JNL_10off_120on_50off,137,13611,80078400
odr7p_Bcary_5percent,JNL_10off_120on_50off,138,13711,80223700
odr7p_Bcary_5percent,JNL_10off_120on_50off,139,13811,80009700
odr7p_Bcary_5percent,JNL_10off_120on_50off,140,13911,80171400
odr7p_Bcary_5percent,JNL_10off_120on_50off,141,14011,80345700
odr7p_Bcary_5percent,JNL_10off_120on_50off,142,14111,80021000
odr7p_Bcary_5percent,JNL_10off_120on_50off,143,14211,80228200
odr7p_Bcary_5percent,JNL_10off_120on_50off,144,14311,80031400
odr7p_Bcary_5percent,JNL_10off_120on_50off,145,14411,79769300
odr7p_Bcary_5percent,JNL_10off_120on_50off,146,14511,79938000
odr7p_Bcary_5percent,JNL_10off_120on_50off,147,14611,80166900
odr7p_Bcary_5percent,JNL_10off_120on_50off,148,14711,80093200
odr7p_Bcary_5percent,JNL_10off_120on_50off,149,14811,80019300
odr7p_Bcary_5percent,JNL_10off_120on_50off,150,14911,79996500
odr7p_Bcary_5percent,JNL_10off_120on_50off,151,15011,79816900
odr7p_Bcary_5percent,JNL_10off_120on_50off,152,15111,79993400
odr7p_Bcary_5percent,JNL_10off_120on_50off,153,15211,79664300
odr7p_Bcary_5percent,JNL_10off_120on_50off,154,15311,79810700
odr7p_Bcary_5percent,JNL_10off_120on_50off,155,15411,79870100
odr7p_Bcary_5percent,JNL_10off_120on_50off,156,15511,79411500
odr7p_Bcary_5percent,JNL_10off_120on_50off,157,15611,79900200
odr7p_Bcary_5percent,JNL_10off_120on_50off,158,15711,79779900
odr7p_Bcary_5percent,JNL_10off_120on_50off,159,15811,79773500
odr7p_Bcary_5percent,JNL_10off_120on_50off,160,15911,79658800
odr7p_Bcary_5percent,JNL_10off_120on_50off,161,16011,79473700
odr7p_Bcary_5percent,JNL_10off_120on_50off,162,16111,79320900
odr7p_Bcary_5percent,JNL_10off_120on_50off,163,16211,79519700
odr7p_Bcary_5percent,JNL_10off_120on_50off,164,16311,79727300
odr7p_Bcary_5percent,JNL_10off_120on_50off,165,16411,79686800
odr7p_Bcary_5percent,JNL_10off_120on_50off,166,16511,79541700
odr7p_Bcary_5percent,JNL_10off_120on_50off,167,16611,79530300
odr7p_Bcary_5percent,JNL_10off_120on_50off,168,16711,79650000
odr7p_Bcary_5percent,JNL_10off_120on_50off,169,16811,79723900
odr7p_Bcary_5percent,JNL_10off_120on_50off,170,16911,79657900
odr7p_Bcary_5percent,JNL_10off_120on_50off,171,17011,79314900
odr7p_Bcary_5percent,JNL_10off_120on_50off,172,17111,79220900
odr7p_Bcary_5percent,JNL_10off_120on_50off,173,17211,79313900
odr7p_Bcary_5percent,JNL_10off_120on_50off,174,17311,79090000
odr7p_Bcary_5percent,JNL_10off_120on_50off,175,17411,79384600
odr7p_Bcary_5percent,JNL_10off_120on_50off,176,17511,79099400
odr7p_Bcary_5percent,JNL_10off_120on_50off,177,17611,79364800
odr7p_Bcary_5percent,JNL_10off_120on_50off,178,17711,79443800
odr7p_Bcary_5percent,JNL_10off_120on_50off,179,17811,78915300
odr7p_Bcary_5percent,JNL_10off_120on_50off,180,17911,79172400
odr7p_Bcary_5percent,JNL_10off_120on_50off,181,18011,79216200
odr7p_Bcary_5percent,JNL_10off_120on_50off,182,18111,78916800
odr7p_Bcary_5percent,JNL_10off_120on_50off,183,18211,79201000
